epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3095238208770752,1.463820457458496,0.3688524663448334,0.1428571492433548,0.4232804477214813,1.2130457162857056,0.5454545617103577,0.0634920671582222
1,0.37460318207740784,1.269716501235962,0.390625,0.1587301641702652,0.5608465671539307,1.0416898727416992,0.6666666865348816,0.0952381044626236
2,0.48571428656578064,1.1602754592895508,0.5662251710891724,0.27142858505249023,0.5555555820465088,1.0194647312164307,0.6186440587043762,0.38624340295791626
3,0.5301587581634521,1.1192976236343384,0.5774999856948853,0.36666667461395264,0.5820106267929077,0.9515953660011292,0.6694915294647217,0.41798943281173706
4,0.5444444417953491,1.0246638059616089,0.6081424951553345,0.37936508655548096,0.5608465671539307,0.9483953714370728,0.7415730357170105,0.3492063581943512
5,0.523809552192688,1.0347373485565186,0.5989446043968201,0.3603174686431885,0.5449735522270203,0.9485934972763062,0.6500000357627869,0.4126984477043152
6,0.579365074634552,0.9731513261795044,0.6359223127365112,0.4158730208873749,0.5978836417198181,0.9022142291069031,0.6854838728904724,0.44973546266555786
7,0.5841270089149475,0.9437465071678162,0.6550116539001465,0.44603174924850464,0.6137566566467285,0.8970456719398499,0.6641221642494202,0.4603174924850464
8,0.5936508178710938,0.9135868549346924,0.6947890520095825,0.4444444477558136,0.5978836417198181,0.886438250541687,0.6982758641242981,0.4285714626312256
9,0.5968254208564758,0.8906691670417786,0.7078947424888611,0.42698413133621216,0.5925925970077515,0.8784218430519104,0.6595745086669922,0.4920635223388672
10,0.6000000238418579,0.8951084613800049,0.6617020964622498,0.49365079402923584,0.5873016119003296,0.8684834837913513,0.6506849527359009,0.5026455521583557
11,0.620634913444519,0.8563893437385559,0.7027027010917664,0.4952380955219269,0.624338686466217,0.8470376133918762,0.7203390002250671,0.44973546266555786
12,0.6476190686225891,0.8211635947227478,0.7455470561981201,0.4650793671607971,0.6084656715393066,0.8391405940055847,0.7251908183097839,0.5026455521583557
13,0.644444465637207,0.8075217008590698,0.7354989051818848,0.5031746029853821,0.60317462682724,0.8482409715652466,0.6689655184745789,0.5132275223731995
14,0.6746031641960144,0.7958696484565735,0.7302631735801697,0.5285714268684387,0.60317462682724,0.8306856155395508,0.695652186870575,0.5079365372657776
15,0.6634920835494995,0.7868082523345947,0.7613365650177002,0.5063492059707642,0.6190476417541504,0.8294658660888672,0.7022900581359863,0.4867725074291229
16,0.682539701461792,0.7773103713989258,0.7461024522781372,0.5317460298538208,0.6296296715736389,0.8224818706512451,0.6906474828720093,0.5079365372657776
17,0.6746031641960144,0.7593562006950378,0.7572383284568787,0.5396825671195984,0.6296296715736389,0.8078539371490479,0.7089552283287048,0.5026455521583557
18,0.6936507821083069,0.7479798197746277,0.7682119011878967,0.5523809790611267,0.6507936716079712,0.7948181629180908,0.7183098196983337,0.5396825671195984
19,0.6888889074325562,0.750302255153656,0.7777777314186096,0.5666666626930237,0.6455026865005493,0.7865982055664062,0.7132866978645325,0.5396825671195984
20,0.7079365253448486,0.7264915704727173,0.7787233591079712,0.5809524059295654,0.6455026865005493,0.7799569964408875,0.7132866978645325,0.5396825671195984
21,0.7047619223594666,0.7188326716423035,0.7872340083122253,0.5873016119003296,0.6613757014274597,0.7664902806282043,0.7555555701255798,0.5396825671195984
22,0.7222222089767456,0.7174341678619385,0.7823275923728943,0.5761904716491699,0.6507936716079712,0.7571157813072205,0.7194244265556335,0.5291005373001099
23,0.7063491940498352,0.6985301971435547,0.7750000357627869,0.5904762148857117,0.6931217312812805,0.7574862837791443,0.7318840622901917,0.5343915820121765
24,0.7126984000205994,0.6953770518302917,0.7830802798271179,0.5730158686637878,0.6613757014274597,0.7531605362892151,0.7222222089767456,0.5502645969390869
