,precision,recall,f1-score,support
0,0.8235294117647058,0.8484848484848485,0.835820895522388,33.0
1,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
2,0.8125,1.0,0.896551724137931,13.0
3,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
accuracy,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519
macro avg,0.858502302436126,0.8461791831357048,0.8457915676134925,81.0
weighted avg,0.8557373847406526,0.8518518518518519,0.8496859697942406,81.0
