,precision,recall,f1-score,support
0,0.9666666666666667,0.8787878787878788,0.9206349206349206,33.0
1,0.9,0.75,0.8181818181818182,12.0
2,0.8125,1.0,0.896551724137931,13.0
3,0.92,1.0,0.9583333333333334,23.0
accuracy,0.9135802469135802,0.9135802469135802,0.9135802469135802,0.9135802469135802
macro avg,0.8997916666666667,0.9071969696969697,0.8984254490720008,81.0
weighted avg,0.9187962962962963,0.9135802469135802,0.9122959664147404,81.0
