,precision,recall,f1-score,support
0,0.8709677419354839,0.8181818181818182,0.84375,33.0
1,0.9,0.75,0.8181818181818182,12.0
2,0.9285714285714286,1.0,0.9629629629629629,13.0
3,0.8076923076923077,0.9130434782608695,0.8571428571428571,23.0
accuracy,0.8641975308641975,0.8641975308641975,0.8641975308641975,0.8641975308641975
macro avg,0.8768078695498049,0.870306324110672,0.8705094095719096,81.0
weighted avg,0.8665467547187978,0.8641975308641975,0.8628979759380995,81.0
