,precision,recall,f1-score,support
0,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0
1,0.8181818181818182,0.75,0.782608695652174,12.0
2,0.8666666666666667,1.0,0.9285714285714286,13.0
3,1.0,0.9130434782608695,0.9545454545454546,23.0
accuracy,0.9012345679012346,0.9012345679012346,0.9012345679012346,0.9012345679012346
macro avg,0.8918003565062389,0.8930335968379447,0.8903119917071897,81.0
weighted avg,0.9037345128848396,0.9012345679012346,0.9008582367872872,81.0
