accuracy,precision,recall,student_loss,distillation_loss,val_accuracy,val_precision,val_recall,val_student_loss
0.33968254923820496,0.34804755449295044,0.3253968358039856,1.753717064857483,0.027523010969161987,0.21164022386074066,0.7755101919174194,0.20105820894241333,1.4230268001556396
0.5444444417953491,0.5608108043670654,0.5269841551780701,1.4098159074783325,0.019442643970251083,0.21164022386074066,0.8571429252624512,0.0317460335791111,1.373231053352356
0.6222222447395325,0.6420168280601501,0.6063492298126221,0.8999922275543213,0.018548574298620224,0.27513229846954346,0.0,0.0,1.3462073802947998
0.6666666865348816,0.6821561455726624,0.5825396776199341,0.6667882800102234,0.01356974896043539,0.4761905074119568,0.0,0.0,1.3070414066314697
0.7222222089767456,0.7873684763908386,0.5936508178710938,0.6814470291137695,0.01402903813868761,0.523809552192688,0.0,0.0,1.2450062036514282
0.7809523940086365,0.8440545797348022,0.6873015761375427,0.5253483653068542,0.010776842944324017,0.5026455521583557,0.0,0.0,1.1940683126449585
0.7809523940086365,0.8327272534370422,0.7269841432571411,0.4854009747505188,0.009798049926757812,0.4285714626312256,0.6666666865348816,0.052910055965185165,1.1748706102371216
0.8380952477455139,0.8732638955116272,0.7984126806259155,0.41740259528160095,0.007921519689261913,0.41798943281173706,0.5483870506286621,0.08994709700345993,1.1791355609893799
0.8777778148651123,0.9049236178398132,0.8460317850112915,0.3162444233894348,0.006309671327471733,0.40211641788482666,0.45744678378105164,0.22751323878765106,1.1979390382766724
0.8857142925262451,0.8942148685455322,0.8587301969528198,0.3121356964111328,0.006094751879572868,0.35449737310409546,0.4135338366031647,0.29100531339645386,1.2480570077896118
0.8952381014823914,0.9168052673339844,0.8746032118797302,0.26367828249931335,0.004731615539640188,0.3280423581600189,0.39855071902275085,0.29100531339645386,1.3408186435699463
0.9333333373069763,0.9522240161895752,0.9174603223800659,0.19478775560855865,0.0034233378246426582,0.30158731341362,0.38461539149284363,0.29100531339645386,1.457343578338623
0.9428571462631226,0.9511401057243347,0.9269841313362122,0.2096230536699295,0.004070613067597151,0.29629629850387573,0.3274853825569153,0.29629629850387573,1.5778158903121948
0.9460317492485046,0.9502407908439636,0.9396825432777405,0.15443673729896545,0.00280478922650218,0.29629629850387573,0.30434784293174744,0.29629629850387573,1.6781494617462158
0.9492063522338867,0.9583333730697632,0.9492063522338867,0.15645046532154083,0.0027453985530883074,0.29629629850387573,0.2978723347187042,0.29629629850387573,1.7759591341018677
0.9698413014411926,0.9728000164031982,0.9650793671607971,0.1389857828617096,0.0022944973316043615,0.29629629850387573,0.29629629850387573,0.29629629850387573,1.8823304176330566
0.9761905074119568,0.9791332483291626,0.9682539701461792,0.08040045201778412,0.0011279406026005745,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.0184831619262695
0.9793651103973389,0.9808917045593262,0.9777777791023254,0.07702341675758362,0.0011568502523005009,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.1575424671173096
0.9841269850730896,0.9856000542640686,0.9777777791023254,0.05055614188313484,0.0004957087803632021,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.2518973350524902
0.985714316368103,0.987261176109314,0.9841269850730896,0.04720119386911392,0.00038992217741906643,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.3445005416870117
0.9920635223388672,0.9920508861541748,0.9904761910438538,0.04954108968377113,0.0006176212918944657,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.462357521057129
0.9936507940292358,0.9952305555343628,0.9936507940292358,0.05582059547305107,0.000996868358924985,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.600956916809082
0.9968253970146179,0.9968253970146179,0.9968253970146179,0.03957713395357132,0.0005463545094244182,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.74166202545166
0.9920635223388672,0.9920635223388672,0.9920635223388672,0.05487323924899101,0.0009736501961015165,0.29629629850387573,0.29629629850387573,0.29629629850387573,2.8618602752685547
1.0,1.0,0.9968253970146179,0.03589479625225067,0.0005296419840306044,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.005391836166382
0.9968253970146179,0.9968253970146179,0.9968253970146179,0.011424507014453411,4.278069536667317e-05,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.128439426422119
0.9968253970146179,0.9968253970146179,0.9968253970146179,0.009058024734258652,3.0834300559945405e-05,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.2419912815093994
1.0,1.0,1.0,0.01749863661825657,0.00018552844994701445,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.3592934608459473
0.9936507940292358,0.9936507940292358,0.9936507940292358,0.035679109394550323,0.0006080748280510306,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.4818344116210938
0.9952381253242493,0.9952381253242493,0.9952381253242493,0.030202103778719902,0.00045949293416924775,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.605097532272339
0.9968253970146179,0.998410165309906,0.9968253970146179,0.014361984096467495,0.00012871042417827994,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.719367027282715
1.0,1.0,1.0,0.020452048629522324,0.00014311785344034433,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.803602695465088
0.9984127283096313,0.9984127283096313,0.9984127283096313,0.01708185113966465,0.00023295317078009248,0.29629629850387573,0.29629629850387573,0.29629629850387573,3.909675359725952
1.0,1.0,1.0,0.01082820538431406,7.268277840921655e-05,0.29629629850387573,0.29629629850387573,0.29629629850387573,4.052425861358643
0.9984127283096313,1.0,0.9984127283096313,0.011822429485619068,8.621867891633883e-05,0.29629629850387573,0.29629629850387573,0.29629629850387573,4.126769542694092
