,precision,recall,f1-score,support
0,0.9090909090909091,0.9090909090909091,0.9090909090909091,33.0
1,0.9,0.75,0.8181818181818182,12.0
2,0.8666666666666667,1.0,0.9285714285714286,13.0
3,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
accuracy,0.9012345679012346,0.9012345679012346,0.9012345679012346,0.9012345679012346
macro avg,0.8972002635046114,0.8930335968379447,0.8922219085262564,81.0
weighted avg,0.9020576131687242,0.9012345679012346,0.8998717332050666,81.0
